db43e069:00000000:46c5d824b3f3661e   ymHead_JawSoftMod02_Shape
db43e069:00000000:3d0a3fa6fed26c10   ymHead_JawSoftMod03_Normals
db43e069:00000000:d5b46e06999f7b57   ymHead_JawSoftMod03_Shape
db43e069:00000000:7504b5cd43b10f48   ymHips_Narrow_Normals
db43e069:00000000:0b7ee165bed4fbbf   ymHips_Narrow_Shape
db43e069:00000000:c9778632d9483e80   ymHips_Wide_Normals
db43e069:00000000:0fa10611ce280107   ymHips_Wide_Shape
db43e069:00000000:b8d4f319c8918d1e   ymLowerArm_Big_Normals
db43e069:00000000:b65423d2b7b7db99   ymLowerArm_Big_Shape
db43e069:00000000:b7eb83867641ad01   ymLowerArm_Small_Normals
db43e069:00000000:acc8107e599b19a2   ymLowerArm_Small_Shape
db43e069:00000000:adef2bf62914f43c   ymLowerLeg_Big_Normals
db43e069:00000000:39e3ea2aa563753b   ymLowerLeg_Big_Shape
db43e069:00000000:7a1b091cb6cf6133   ymLowerLeg_Small_Normals
db43e069:00000000:c4ad99b1e52c13a0   ymLowerLeg_Small_Shape
db43e069:00000000:7e396f94aeecd20b   ymNeck_BackContract_Normals
db43e069:00000000:789db1c364b18748   ymNeck_BackContract_Shape
db43e069:00000000:4dc6fe85f2a930b1   ymNeck_BackExtend_Normals
db43e069:00000000:ca3b756a4da02cd2   ymNeck_BackExtend_Shape
db43e069:00000000:52c39adc3d3d6a65   ymNeck_Thick_Normals
db43e069:00000000:3d8a2c5aa6bcd51e   ymNeck_Thick_Shape
db43e069:00000000:8497ec7242e18531   ymNeck_Thin_Normals
db43e069:00000000:0e1ad81683c8ed52   ymNeck_Thin_Shape
db43e069:00000000:eae208a91ed2d639   ymShoulders_Narrow_Normals
db43e069:00000000:21cf603a844c8bca   ymShoulders_Narrow_Shape
db43e069:00000000:10e5150631296db1   ymShoulders_Wide_Normals
db43e069:00000000:8f6b3ea0fd2b21d2   ymShoulders_Wide_Shape
db43e069:00000000:e78b3170e49db226   ymThighs_Big_Normals
db43e069:00000000:1d985f733d34e3f1   ymThighs_Big_Shape
db43e069:00000000:7c01499d00f5fd09   ymThighs_Small_Normals
db43e069:00000000:62684e4622dc735a   ymThighs_Small_Shape
db43e069:00000000:6c8422ed22c6c76f   ymUpperArm_Big_Normals
db43e069:00000000:7bfe8050443ffef4   ymUpperArm_Big_Shape
db43e069:00000000:1d48ac5c16221ed8   ymUpperArm_Small_Normals
db43e069:00000000:975b247fd2d9b8cf   ymUpperArm_Small_Shape
db43e069:00000000:6a0d749e60cc651c   ymWaist_Narrow_Normals
db43e069:00000000:de02c8d06ff4231b   ymWaist_Narrow_Shape
db43e069:00000000:9aa824c751e001f4   ymWaist_Wide_Normals
db43e069:00000000:43a8d7f634694a23   ymWaist_Wide_Shape
db43e069:00000000:d61a598c13efdd24   yuHead_CraniumHigh_Normals
db43e069:00000000:3464b4e7aaaf14d3   yuHead_CraniumHigh_Shape
db43e069:00000000:ad6db3ddfd307000   yuHead_CraniumLow_Normals
db43e069:00000000:a7be64e14e225687   yuHead_CraniumLow_Shape
db43e069:00000000:ab37565391b64754   yuHead_Narrow_Normals
db43e069:00000000:38b03f44b80a1483   yuHead_Narrow_Shape
db43e069:00000000:cea0e3f86e330dc2   yuHead_SkullBaseBackward_Normals
db43e069:00000000:8733cd3ad03d5e25   yuHead_SkullBaseBackward_Shape
db43e069:00000000:780599d66d05fa96   yuHead_SkullBaseForward_Normals
db43e069:00000000:ab96d55270ae3321   yuHead_SkullBaseForward_Shape
db43e069:00000000:b6a5f96e5f4cf8fc   yuHead_Wide_Normals
db43e069:00000000:8465a8bae8e387fb   yuHead_Wide_Shape
